"","tweets","location","Score","Sentiment"
"1","thandhra thehindu bjpindia ncbn the trait of the the person or the party is defined by hetheir ideology and principles if ideology is keep changing he no longer has the same traits majority of times it happens while looking for personal growth so you decide traits of ncbn ","Denver, CO",0.75,"positive"
"2","shatrugansinha newentrant to listdallagaddar never asked all his relatives feignshourie yashwantsinha ncbn arvindkejriwal why dogs dont bark for bofors coalgate cbivscbi  who was behind tapping pmoindia phoneshandler great kapilsibal arunjaitley  protecting ull ","",1.3,"positive"
"3","ncbn ji defence minister itself very clealry explained in parliament about the deal please your wisdom to understand the proceedingsthe fighter jets are meant for national security also they are not jet airways ","<U+092D><U+093E><U+0930><U+0924>",2,"positive"
"4","ncbn ji i am hindu and now has concern if your party supports these kind of people yesterday you did not speak your vision on bharati thought you had a vision for bharat like modicc pawankalyan ysjagan jploksatta ","<U+092D><U+093E><U+0930><U+0924>",1.4,"positive"
"5","ncbn sir please watch our webseries lingababu episode  and share your valuable feedback","Hyderabad, India",2.25,"positive"
"6","lathareddy ncbn naralokesh whats this lodha pls can anyone explain me","Hyderabad, India",0,"neutral"
"7","tlnin ncbn corporatisation of schools is a big mafia and loot there must be a strict regulation govt education must be reachable affordable and free of cost till highschooling yet with high quality","India",0.1,"positive"
"8","ncbn good initiative i believe thorough research has been done to identify and understand the root causes of the dropouts going digital may not be a solution","India",1,"positive"
"9","araku balloon festival  its thrilling to experience ap amp its beautiful araku valley its an experience of a lifetimethank you so much ncbn andhrapradeshcm great organisation by aptdcofficial thank you mam bhumaakhila taking ap tourism to next level  ","Visakhapatnam",3.15,"positive"
"10","thandhra thehindu bjpindia ncbn game over","Mumbai, India",0,"neutral"
"11","a body of work that brings soul alive in brands  mjspr mjsrikant  ncbn ","Bengaluru",0.75,"positive"
"12","shekhargupta dksingh most of them broke bread with the bjp in the past and their pronounced antibjpism today is hardly a guarantee of their preference for the congress after the poll results the best example for this is andhrapradesh cm ncbn tdp","Bengaluru",0.75,"positive"
"13","httweets ncbn the same mouth piece when gst bill was passedchief minister n chandrababu naidu termed the gst as an innovative changethis is a revolutionary reform after the economic reforms and will enable a two per cent growth in the nations gross domestic product","Bengaluru",1.4,"positive"
"14","done with every printelectronic media advts now its time to utilize digital media yt also ncbn  mi vadakam ki  total  advts   reform after the economic reforms and will enable a two per cent growth in the nations gross domestic product","",0.65,"positive"
"15","kc merespectator ncbn jaitdp great initiative","",0.5,"positive"
"16","lankadinakar naralokesh ncbn jaitdp yadavtejashwi you are great warrior for party always present party views in your voice","",0.15,"positive"
"17","sambire ncbn prajarajadhani good idea please consider","",1.75,"positive"
"18","ncbn prajarajadhani great initiative hope amravati become another it hub","",1,"positive"
"19","vemurisilpa merespectator ncbn this is called development","",0,"neutral"
"20","ncbn we r with u","",0,"neutral"
"21","ncbn it is very important steps for our future generation sir every parent must strive to educate their children utilising present opportunity and bring their children up literacy level in our state should raise above ","Andhra University Area, Vishakhapatnam",3.35,"positive"
"22","ncbn mamataofficial narendramodi it is confirmed sir","Andhra University Area, Vishakhapatnam",0.75,"positive"
"23","thandhra thehindu bjpindia ncbn but democratic compulsion will surely push him towards bjpindia in case jaitdp comes back to power in ","Bengaluru, India",-0.5,"negative"
"24","ncbn mamataofficial narendramodi sir help the open category students we are struggling so much","Vijayawada",-0.25,"negative"
"25","thandhra thehindu bjpindia ncbn meaning ncbn will donbettee","",0,"neutral"
"26","smartchapno indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind sanghis are getting chaddis wet not enough to cross rope in may  after seeing the meeting of  secular forces","Maharashtra, India",-0.25,"negative"
"27","smartchapno indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind with  can any sane person dream of winning if  unite  time is up for incompetent modi sarkar nation is fed up with lies drama bazi abusive language and bigotry spread under modi rule","Maharashtra, India",-1.3,"negative"
"28","smartchapno indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind lynchings flop demonestisation  half baked gst rising unemployment  highest duties on petrol  widening fiscal deficit  growing cad  terror attacks by rss bjp on dalits  political murders like gauri lankesh nation is fed up with incompetent feku modi","Maharashtra, India",-3.45,"negative"
