"","tweets","location","Score","Sentiment"
"1","i added a video to a youtube playlist  massu maranam ft janasena chief pawankalyan","Bangalore",0,"neutral"
"2","its polltime comment your rating on ramcharans vvr vinayavidheyarama pawankalyan janasena janasenaparty vvrday","Bangalore",0,"neutral"
"3","cant wait to see this man as chief minister his grace his emotion his thoughts his care his passion for society are phenomenal janasena janasenani powerstar jspfornewagepolitics voteforglass elections","San Mateo, CA",2.25,"positive"
"4","almost  lakh new youth voters have registered in andhra pradesh people are getting smart and know who to believe and who have been cheating them for decades its janasena time for clean politics voteforglasstumbler janasena trueleaderpawankalyan jspfornewagepolitics ","San Mateo, CA",1.45,"positive"
"5","ready for janasena flag hosting ceremony in my village with kishoreravela garutotal  flags hosting today in vemuru constituency with big byke ralleyvoteforglass ","india",1.65,"positive"
"6","kethireddy explains kapaul political game breaking laxmisveeragrandham ysjagan ysrcp janasena jrntr nadendlabhaskarrao rgv tdp sakshihdtv sakshinews ysrcpdmo kuwaitysrcp kuwaitysrcp ysrcpaustralia ntdailyonline ktrtrs telanganacmo ","CHENNAI",-0.6,"negative"
"7","kaushalarmy ani okati undedhi social media lo appatloalaage janasena on social media online votes kadhanna leader ni decide chesedhi better go and vote amp try on the ground   ysrcpaustralia ntdailyonline ktrtrs telanganacmo ","United States of <U+0C24><U+0C46><U+0C32><U+0C41><U+0C17><U+0C41><U+0C26><U+0C47><U+0C36><U+0C02> ",1.05,"positive"
"8","official tour schedule janasena president shri pawankalyan garu visiting vizag from  to srikakulam review on  and paderu sabha vijayanagaram review on visakhaptnam review on this is for kind information for the cadre and leadersjanasena","Tekkali, India",0.9,"positive"
"9","opening ceremonychodavaram constituency janasenaparty office pvsn raju garujanasena chodavaramvizag  review on visakhaptnam review on this is for kind information for the cadre and leadersjanasena","Vizag",0.9,"positive"
"10","ut a chai stay tuned for a small update soon ps  i dont encourage smokingmega alludu kalyandhev via fbvoteforglass janasena  review on this is for kind information for the cadre and leadersjanasena","Vizag",1.65,"positive"
"11","lets remember narendranathdatta ji on his birth anniversary who distilled the motivation into a bright vision for our countrys futureswamivivekananda nationalyouthday jai hindpawankalyan janasena  and leadersjanasena","Vizag",2.4,"positive"
"12","for all cricket loversjanasena bsu cricket tournament gajuwaka janasena  for our countrys futureswamivivekananda nationalyouthday jai hindpawankalyan janasena  and leadersjanasena","Vizag",0,"neutral"
"13","pawankalyan is planning for north andhra tour for a week or so before he sits on preparations for the electionsjanjanasenauttarandhrauttarandhranow ","Vizag",0.25,"positive"
"14","srivarun tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"15","if youre going to kick authority in the teeth you might as well use two feetgantaswarupa gantaswarupa janasenapartygavemewings janasena janasenaparty andhrapradeshelections pawankalyan pawankalyanisalwaysright pawankalyantruthfulpolitics jspfornewagepolitics ","Sanjeeva Reddy Nagar, Rajendra",1.05,"positive"
"16","priyankakatta the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"17","jssoldiers ncbn naralokesh pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
