"","tweets","location","Score","Sentiment"
"1","mammookkaboys ysjagan trendsjagan ysjagantrends yatrafilm iamwiteing"," Aamaravathi ,  kalikiri",0,"neutral"
"2","kotamreddyycp ysjagan ysrcparty people leader","",0.25,"positive"
"3","ktrtrs ysjagan ktrtrs  garu why to take support from some other party when your party can win in ap as well such is your following in ap nation needs many ktrs hats off to you sirpeoplesleader","",1.8,"positive"
"4","harishreddym ysjagan ysrcparty true color of jagan  ","",0.5,"positive"
"5","kazavk ysjagan ncbn check out gowthamiks tweet ","",0,"neutral"
"6","kazavk ysjagan ncbn st say you cm not to copy scames from telgana say him to think om his own ","",0,"neutral"
"7","kazavk ysjagan ncbn just think is jagan is the cm of andhra to ask or send notes vk ok joker dont care","",0.9,"positive"
"8","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs do you think cbn is good leader","",1,"positive"
"9","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs just say me how many andhra people left telgana  after trs came in to power sorry only one person left he is cbn vote for note dogaladid kcr keep fingers any  andhra just check how many times cbn keet","",-0.5,"negative"
"10","kazavk ysjagan ncbn vk pada joker na at the time of telagana election also he made fake news vanilie tdp pich undi dont care","",0.15,"positive"
"11","kazavk ysjagan ncbn making fake news read this befor you talk about current paket ","",-0.35,"negative"
"12","lankasatyanara kazavk ncbn ysjagan come cbn army we will keep  mm rode un telgana dont keep with kcr army ass holes","",-0.5,"negative"
"13","kazavk ysjagan ncbn vk joker know some think and keep tweet eareeeee ","",-0.1,"negative"
"14","kazavk ncbn ysjagan fool come to telgana we will show how telgana was developed in village also moe and you cunning baabu heritage you can see joker","",-0.85,"negative"
"15","kazavk ysjagan ktrtrs ass hole just answer this or i will think you are just say me how many andhra people left telgana  after trs came in to power sorry only one person left he is cbn vote for note dogaladid kcr keep fingers any  andhra just check how many times cbn keet","",-1,"negative"
"16","prakasharige ktrtrs ysjagan prakash you are joker just think and say fool","",-0.85,"negative"
"17","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs if tdp win also no problem for us the cm will be joker that lokesh hahahhah","",-0.35,"negative"
"18","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs sorry bro small correction kcr did not buy mal he just welcome them to trs party cbn buy mla proof vote for note and do you know why kcr welcome other party mla because tdp telganalo gov kulakordam ani try chaside every one known","",-0.25,"negative"
"19","sai ktrtrs ysjagan ncbn kcr was when unsalted by ass hole congress leaders digvijay singh have some knowledge and speed sai i will show proof","",0.1,"positive"
"20","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs just answer","",0,"neutral"
"21","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs we need to save our andhra brothers form jokers","",0.5,"positive"
"22","jssoldiers satishkumarn ysjagan ktrtrs fools s one to telgan we will show how we have developed  we know you are chamcha of tdp who sold part tickets praja rajan and tdp just go back and see pls dont make people fool","",-1.25,"negative"
"23","kazavk narendramodi trspartyonline ysrcparty ysjagan joker mode is better then cbn","",0.7,"positive"
"24","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs why pk not talking about call money vote for note attack on gov employes","",-0.15,"negative"
"25","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs just come to telgana we love andhra people but only ass hole tdp and people who have kula pichi we dont like just come and see karimnagar","",0.75,"positive"
"26","skaranjsp jssoldiers satishkumarn ysjagan ktrtrs what about pk no idea what he is doing","",0,"neutral"
"27","chaytu ktrtrs ysjagan this is national politics federal front","",0,"neutral"
"28","kaai ktrtrs ysjagan bookmark esukuntaa lets see how many mp seats both are going to winwill you stop believing in astrology","",0.4,"positive"
"29","ysjagan ysrcparty  jagan started business only after ysr became cmit is venture with  crore paid capital in  power projects take time to give returns there are allegations of bribes paid as investments into sakshi saying sakshi completely funded by alleged bribes is a bit extreme ","",-0.4,"negative"
"30","ysjagan ysrcparty  jagan assets increased only because he is son of chief ministernot many people understand compounding nature of money at scale did you ever think in the perspective i explained in image ","",1.35,"positive"
"31","ysjagan ysrcparty  ysr encouraged other religions influence in tirumalaans its infact opposite of it check go ","",0.8,"positive"
"32","ysjagan ysrcparty  ias officers are arrested in jagan da casesansy lakshmi is arrested in obc case not jagan da cases cbi had charged eight ias officers out of them four got their name cleared","",0,"neutral"
"33","pawanvenkat ysjagan ysrcparty this thread audience are not janasena supportersthis is for ysrcp supporters","",0.8,"positive"
"34","hanuraob purna ysjagan ysrcparty historically chiru is close to tdpremember indra function in vijayawadachiru merged in congress as congress in powerin  yes in  he sacrificed his party future to stop ys jagan","",0,"neutral"
"35","maheshjsp ysjagan ok you should check paritala statement after court convicted moddu srinu and otherspawan went to eat raagi sangati in paritala housedid he ask why she didnt appeal conviction in high court","",0.7,"positive"
"36","kiranjayasa malathireddy vsreddymp ysjagan ysrcparty its jyothitake it with a pinch of salt","",0,"neutral"
"37","ysjagan ysrcparty  would jagan leave congress if he was made cmhypothetical question i will tryjagan exit from congress would have been a bit delayed mentality of jagan doesnt not suit congress culture of politics","",-0.4,"negative"
"38","dineshgdk ysjagan ysrcparty  income from agriculture is not shown in it returnsdochukoledu antaara meeruwho am i to say this let court decide after careful consideration of evidence and defence arguments","",0.25,"positive"
"39","dineshgdk ysjagan ysrcparty it returns is filed per individual  you dont know this basics ysr has thousands of acres of agricultural land part of it is returned after district collector informed cm that your forefathers enchroached forest lands it was debated in assembly check archives","",0.65,"positive"
"40","ysjagan ysrcparty  jagan is arrogant and egoist","",-0.75,"negative"
"41","thread on frequent baseless allegationsrumours related to ysjagan and ysrcparty party","",-0.5,"negative"
"42","ysjagan ysrcparty  ed took away illegal properties of jagan as his crime is proved","",-1.75,"negative"
"43","chaytu ktrtrs ysjagan we voted the ysr party bcoz of is fatherstill ysr is father of jagan","",0,"neutral"
"44","ysjagan ysrcparty  it will take ten years before judgements are pronounced in cbi ed cases ansone such ed attachment order is challenged in appealate tribunal judgement came in favour of jagandont miss the remarks related to aurobindo case in last paragraph","",0,"neutral"
"45","ysjagan ysrcparty last but not the least i received  rupees in paytm for making this threadans ","",0.6,"positive"
"46","ysjagan ysrcparty  jagan is accused in obc mining casejagan is only called for investigation he is not named in the chargesheet ","",-0.5,"negative"
"47","ysjagan ysrcparty  aditya nath das  allotting lands to hetero aurobindo pharma and trident life sciences b sam bob  signing a mou with lepakshi knowledge hub  ratna prabha  indu tech pvt ltd  y lakshmi  refer image  ","",0.6,"positive"
"48","maheshjsp ysjagan aa sentence deniki counter gaa nuvvu feel avuthunnavfirst one or second sentence","",0,"neutral"
"49","ysjagan ysrcparty  jagan is jailed for  months because his crime is proved in courtans the sentencewithout expressing any opinion on the meritsis important in supreme court order bail application result is not a order of conviction ","",-1,"negative"
"50","vyaspyk ktrtrs ysjagan pawankalyan was it a mistake or deliberate liecan you please clarify before we decide whether it is funny","",1.85,"positive"
"51","chaytu ktrtrs ysjagan jagan made it crystal clearour policy at national level is driven by special status agendatrs approached ysrcp ysrcp is yet to give its support to federal front","",2.3,"positive"
"52","maheshjsp ysjagan why are u supporting him naa istamyes i checked his election affidavits of   ","",0.75,"positive"
"53","cherukurikiran brady ysjagan ysrcparty do you have the report pdf or link or any news article","",0,"neutral"
"54","ysjagan ysrcparty  jagan is a factionist involved in paritala murderans  jagan name is included as accused in cbi fir his name didnt make it to chargesheet ","",0.1,"positive"
"55","maheshjsp ysjagan u say that ysjagan is an innocent guyi never said that who am i to say he is innocent or culprit its judge jobi apply same principle to all accused i am not hypocritebetter check meaning of hypocrite before calling some one hypocrite","",-1.2,"negative"
"56","ysjagan ysrcparty ysr tried to reduce jurisdiction of ttd from seven hills to two hillsanssomebody filed a petition in court that tirumala is a village and panchayat elections must be held to give effect to this ysr govt defined boundaries of this village","",-0.25,"negative"
"57","vyaspyk ktrtrs ysjagan pawankalyan to set facts straight  he is visiting court every friday","",1,"positive"
"58","ysjagan ysrcparty  jagan collected signatures next to his father dead bodyjaganforcm campaign erupted instantaneous across in almost all districts ministers mps mlas faxed their suggestion to delhi from wherever they are ","",-1.6,"negative"
"59","as an influential congress cm at state and congress ruling at centralthen cm ysr managed it successfully by giving clean chit in paritala murder case on ysjagan  to delhi from wherever they are ","India",2.25,"positive"
"60","harishreddym ysjagan so u cannot say jagan is innocent or corruptthen why are u supporting him if u dont know exactly and the necessity to support himcheckout his assets before his father became cm and after ysr death","India",1.8,"positive"
"61","this says u have not understood completely and u dont want tostill u say that ysjagan is an innocent guy and earned crores of rupees just by using his excellwnt marketing skills and never by quid pro kowhat an idiotic hypocracy ","India",0.2,"positive"
"62","forumkeralam ysjagan so except mammukka presence it is another accidentalprimeminister level political election propaganda film","Kerala, India",0.05,"positive"
"63","ysjagan  hai sir chandra sekhar reddy from chinnachervu palli villagetanakallu mandalkadiriin my village rama temple dropping position please sanction some funds to my village","Vijayawada, India",1,"positive"
"64","satishkumarn ktrtrs ysjagan you can free to arguebut think carefully and you will get to know  accussations ani nuvve antunnavenkenti ne baada nijanga ne balam vunte eppataki cases prove avvali kada   years avutundi","",1.35,"positive"
"65","janasainiknk ktrtrs ysjagan yea and we dont need someone who has broken the law not oncebut thrice  pk","",-0.75,"negative"
"66","dear sirhdkumaraswamy ktrtrs ysjagan amp badruddinajmal you should all take the initiative to include aimimofficial in the coalition ","",1.2,"positive"
"67","forumkeralam ysjagan itinte shoot okke kazinjathale","Trivandrum, India",-0.5,"negative"
"68","sathishreddy ysjagan ncbn trspartyonline i dont know ncbn joined hands with trs sir","peddapalli,karimnagar",0.85,"positive"
"69","dear ysjagan sir if you want to make a big sound for specialstatus of ap you can collaborate with ncbn but why did you join hands with trspartyonline ","peddapalli,karimnagar",1.25,"positive"
"70","apxlive pawankalyan jaitdp tdptrending ncbn naralokesh janasenaparty ysrcparty ysjagan why its shock to pawan kalyan sick minded yellomedia","banglore",-1.5,"negative"
"71","ysjagan sir this will be a debacle for ysrcpemotions of people r against kcrany move in joining hands will mask ur efforts last  monthseven u join them they cannot form govt nor be influencial as ap is bigger state than tsu can contest  ampwin they can contestamp win only  ","",0.5,"positive"
"72","iyrkrao sir if ur reffering to ysrcpamp giving apeice of advice iam with you and suggest them the hard work done for  months will be at vein if joined hands with trs then the equation of  will become as people of ap will react sharplylike net result so ysjagan pls rethink sir","",1.1,"positive"
"73","yatra movie lo jagan ni maku oraa mass look amp mass dialogues thoo introduce cheyande theaters resound ravalaa plss sir ysjagan ysrcparty mmentertains vsreddymp","",0.85,"positive"
"74","ncbn rahulgandhi narendramodi amitshah yadavakhilesh ysjagan pic  speaking at the mega opposition rally in kolkata nara chandrababu naidu said the bjp govt is purchasing mlas just like animalspic  group of mlas whom were chandrababu purchased in andhrapradesh ","",0,"neutral"
"75","mallemala ncbn ysjagan from the beginning  they are very cleverer than us","VIJAYAWADA  AP",0,"neutral"
"76","kiranjayasa sivareddykundur ysjagan ysrcparty sri jagan mohan reddy jee  assured earlier that pension to be doubled to old aged  widows  handicapped  and others during his campaign  in   so tdp decided to enhance  before election code","VIJAYAWADA  AP",0.5,"positive"
"77","manvidad killarisrinivas ysjagan god bless you  best wishes","VIJAYAWADA  AP",2.3,"positive"
"78","yssharmila vincym ysjagan salam leekum mubarak  allah bless you  allah sub ka malik best wishes be successful in all walks of life","VIJAYAWADA  AP",3.05,"positive"
"79","mallemala ktrtrs ysjagan trspartyonline ysrcparty no tie up with trs mim at present","VIJAYAWADA  AP",0.25,"positive"
"80","manvidad ysjagan my dear  jagan mohan reddy best wishes  be happy  prosperous  be successful","VIJAYAWADA  AP",4.05,"positive"
"81","mallemala ysjagan ncbn cogress left ghatabandan searching  for ghatabandan","VIJAYAWADA  AP",0,"neutral"
"82","vidadalarajini vincym ysjagan ncbn jagan mohan reddy jee assures and in turn chandrababu naidu  jee implement who follows whom","VIJAYAWADA  AP",0.8,"positive"
